hospital_id,period_id,fiscal_year,total_budget_cad,actual_spend_cad,nursing_fte,physician_fte,admin_fte,or_rooms
15,3,2016,38873244.0,36559695.0,233,41,46,3
15,4,2017,39903974.0,38209117.0,191,35,38,4
15,5,2018,40934704.0,43275338.0,191,38,56,5
15,6,2019,41965434.0,43694722.0,212,38,49,3
15,7,2020,48155703.0,48945463.0,175,32,50,3
15,8,2021,49310121.0,49442647.0,232,41,34,3
15,9,2022,45057624.0,43735649.0,233,35,47,4
15,10,2023,46088354.0,45166446.0,225,24,29,4
16,1,2014,19887091.0,20055891.0,89,15,25,2
16,2,2015,20443929.0,20912837.0,120,15,25,2
16,3,2016,21000768.0,21035346.0,94,13,26,2
16,4,2017,21557606.0,20387194.0,96,19,24,2
16,5,2018,22114445.0,20983267.0,101,16,21,1
16,6,2019,22671283.0,22648251.0,89,17,24,2
16,7,2020,26015496.0,26222931.0,128,14,15,1
16,8,2021,26639156.0,26996908.0,110,21,15,1
16,9,2022,24341799.0,22939572.0,116,12,22,2
16,10,2023,24898637.0,26208498.0,98,20,23,1
17,1,2014,5382244.0,5034766.0,48,5,5,1
17,2,2015,5532947.0,5898756.0,39,4,7,1
17,3,2016,5683649.0,5587299.0,50,6,6,1
17,4,2017,5834352.0,6285765.0,37,5,5,1
17,5,2018,5985055.0,5573024.0,47,4,7,1
17,6,2019,6135758.0,5927706.0,41,4,9,1
17,7,2020,7040836.0,7498632.0,46,7,6,1
17,8,2021,7209623.0,7744725.0,46,5,8,1
17,9,2022,6587866.0,6423612.0,34,6,8,1
17,10,2023,6738569.0,6638915.0,34,6,10,1
18,1,2014,63163210.0,63985475.0,308,53,56,8
18,2,2015,64931780.0,65759085.0,433,74,62,6
18,3,2016,66700350.0,66746959.0,369,39,88,6
18,4,2017,68468920.0,68801397.0,409,69,84,9
18,5,2018,70237490.0,66730239.0,327,73,75,9
18,6,2019,72006060.0,75615290.0,446,55,71,6
18,7,2020,82627585.0,79773762.0,313,40,78,8
18,8,2021,84608383.0,88437051.0,402,59,51,8
18,9,2022,77311769.0,75661664.0,369,71,73,8
18,10,2023,79080339.0,84361362.0,313,51,94,6
19,1,2014,14483806.0,14439821.0,84,11,21,1
19,2,2015,14889353.0,15392893.0,91,10,11,1
19,3,2016,15294899.0,14869606.0,78,14,18,1
19,4,2017,15700446.0,15804132.0,72,12,17,1
19,5,2018,16105992.0,16642243.0,80,9,12,1
19,6,2019,16511539.0,15711357.0,91,12,22,1
19,7,2020,18947136.0,19498852.0,69,9,15,1
19,8,2021,19401348.0,19914575.0,80,15,20,2
19,9,2022,17728179.0,17845193.0,90,11,14,1
19,10,2023,18133725.0,18633342.0,98,9,21,1
20,1,2014,115167980.0,107577103.0,605,75,130,11
20,2,2015,118392684.0,111414219.0,629,97,161,12
20,3,2016,121617387.0,120173413.0,556,106,157,12
20,4,2017,124842091.0,123978981.0,644,70,174,13
20,5,2018,128066794.0,135167196.0,794,113,120,11
20,6,2019,131291498.0,132329520.0,548,71,92,11
20,7,2020,150658145.0,140554324.0,551,87,152,16
20,8,2021,154269813.0,160953685.0,559,78,137,17
20,9,2022,140965608.0,135546759.0,663,100,99,15
20,10,2023,144190311.0,154961638.0,773,82,131,16
21,1,2014,12747212.0,11919995.0,76,11,13,2
21,2,2015,13104134.0,13934457.0,87,18,12,2
21,3,2016,13461055.0,13551393.0,95,9,19,1
21,4,2017,13817977.0,13794229.0,93,10,19,1
21,5,2018,14174899.0,14479455.0,99,15,24,2
21,6,2019,14531821.0,15050636.0,99,18,22,1
21,7,2020,16675392.0,15641383.0,83,12,18,2
21,8,2021,17075145.0,16843826.0,104,14,14,2
21,9,2022,15602587.0,15179692.0,83,15,13,1
21,10,2023,15959509.0,15842435.0,95,10,12,1
22,1,2014,19811908.0,19183304.0,121,18,16,2
22,2,2015,20366641.0,19811418.0,118,19,23,3
22,3,2016,20921375.0,20314600.0,128,14,25,2
22,4,2017,21476108.0,20390849.0,96,22,25,2
22,5,2018,22030841.0,23271150.0,130,14,18,2
22,6,2019,22585575.0,24218491.0,132,16,19,2
22,7,2020,25917145.0,25783794.0,114,21,20,2
22,8,2021,26538447.0,24982704.0,132,12,26,2
22,9,2022,24249775.0,23958200.0,105,21,27,2
22,10,2023,24804509.0,26633197.0,102,19,25,2
23,1,2014,33945974.0,35395061.0,281,33,59,6
23,2,2015,34896461.0,36265711.0,251,42,38,4
23,3,2016,35846948.0,33399273.0,302,49,40,5
23,4,2017,36797436.0,37998050.0,278,45,64,4
23,5,2018,37747923.0,39316728.0,299,45,44,5
23,6,2019,38698410.0,37398238.0,222,38,39,5
23,7,2020,44406765.0,42546418.0,210,43,52,4
23,8,2021,45471311.0,46823718.0,301,39,63,4
23,9,2022,41549872.0,44398594.0,277,33,42,4
23,10,2023,42500359.0,41633699.0,284,48,46,5
24,1,2014,80693651.0,80274391.0,444,84,71,9
24,2,2015,82953073.0,78554125.0,488,76,64,8
24,3,2016,85212496.0,91087703.0,463,84,97,9
24,4,2017,87471918.0,92019171.0,379,86,108,9
24,5,2018,89731340.0,88693565.0,460,51,96,9
24,6,2019,91990762.0,88047488.0,373,63,92,7
24,7,2020,105560207.0,105680880.0,428,83,78,11
24,8,2021,108090760.0,103227153.0,443,82,110,9
24,9,2022,98769029.0,95852936.0,520,78,58,8
24,10,2023,101028451.0,106176594.0,463,67,98,8
25,1,2014,49608908.0,52564839.0,308,32,51,5
25,2,2015,50997957.0,54801830.0,255,31,61,5
25,3,2016,52387006.0,50735518.0,222,31,50,7
25,4,2017,53776056.0,50359581.0,242,49,55,5
25,5,2018,55165105.0,58039204.0,246,52,47,4
25,6,2019,56554155.0,54853869.0,321,36,43,5
25,7,2020,64896389.0,64155425.0,301,29,43,5
25,8,2021,66452124.0,66950146.0,228,38,66,5
25,9,2022,60721303.0,63610500.0,280,48,37,5
25,10,2023,62110352.0,63922279.0,312,47,50,4
26,1,2014,36430657.0,37961792.0,172,27,27,3
26,2,2015,37450716.0,37653518.0,202,32,50,3
26,3,2016,38470774.0,35869287.0,175,34,51,3
26,4,2017,39490833.0,42469237.0,224,20,50,5
26,5,2018,40510891.0,38803213.0,167,40,37,3
26,6,2019,41530950.0,42993752.0,170,40,38,4
26,7,2020,47657129.0,48935303.0,236,29,35,4
26,8,2021,48799594.0,52349391.0,192,21,34,5
26,9,2022,44591125.0,42282106.0,234,39,51,4
26,10,2023,45611183.0,42798605.0,202,35,45,4
27,1,2014,11534327.0,11708165.0,62,11,19,1
27,2,2015,11857288.0,11986938.0,72,10,17,1
27,3,2016,12180249.0,11781098.0,72,11,15,1
27,4,2017,12503210.0,13114999.0,82,8,12,1
27,5,2018,12826172.0,13835395.0,75,12,16,1
27,6,2019,13149133.0,13098039.0,76,14,10,1
27,7,2020,15088745.0,14627352.0,85,11,18,1
27,8,2021,15450462.0,14470789.0,66,11,16,1
27,9,2022,14118016.0,14224037.0,65,11,16,1
27,10,2023,14440977.0,15018359.0,82,11,17,1
28,1,2014,15731961.0,16755217.0,123,16,25,2
28,2,2015,16172456.0,17098853.0,103,17,24,2
28,3,2016,16612951.0,17463692.0,116,16,18,1
28,4,2017,17053446.0,17035115.0,101,16,27,1
28,5,2018,17493941.0,16349217.0,92,13,20,1
28,6,2019,17934436.0,17982834.0,91,13,25,2
28,7,2020,20579923.0,19933336.0,122,12,20,2
28,8,2021,21073277.0,20653080.0,90,12,24,1
28,9,2022,19255921.0,20438396.0,119,16,14,2
28,10,2023,19696416.0,20728590.0,111,15,25,2
29,1,2014,10403603.0,10823020.0,55,10,17,1
29,2,2015,10694904.0,10994201.0,68,7,16,1
29,3,2016,10986205.0,10870449.0,77,13,12,1
29,4,2017,11277506.0,12062484.0,61,6,12,1
29,5,2018,11568807.0,11122109.0,78,11,11,1
29,6,2019,11860108.0,12059535.0,71,8,16,1
29,7,2020,13609578.0,12688294.0,61,11,14,1
29,8,2021,13935835.0,14067720.0,56,13,17,1
29,9,2022,12734010.0,13505108.0,69,10,9,1
29,10,2023,13025311.0,12963853.0,62,11,13,1
30,1,2014,47784458.0,51096141.0,306,50,59,6
30,2,2015,49122423.0,49309419.0,266,35,37,5
30,3,2016,50460388.0,54217950.0,214,29,42,6
30,4,2017,51798353.0,53299634.0,300,26,57,5
30,5,2018,53136317.0,49691928.0,245,38,67,5
30,6,2019,54474282.0,58199780.0,308,49,49,4
30,7,2020,62509717.0,59690580.0,296,49,45,5
30,8,2021,64008237.0,62036254.0,237,51,70,6
30,9,2022,58488177.0,59669951.0,222,32,40,6
30,10,2023,59826142.0,56398914.0,312,47,64,5
31,1,2014,10376667.0,9708017.0,63,10,15,1
31,2,2015,10667214.0,11296558.0,58,12,17,1
31,3,2016,10957761.0,11340365.0,85,8,15,1
31,4,2017,11248307.0,11420154.0,77,7,13,1
31,5,2018,11538854.0,12263998.0,78,12,11,1
31,6,2019,11829401.0,12608133.0,70,13,11,1
31,7,2020,13574341.0,12983331.0,62,12,16,1
31,8,2021,13899753.0,14500238.0,58,7,11,1
31,9,2022,12701041.0,12612510.0,60,12,16,1
31,10,2023,12991587.0,12314449.0,75,8,14,1
32,1,2014,13321898.0,13543842.0,90,13,17,1
32,2,2015,13694911.0,12858083.0,64,11,12,1
32,3,2016,14067924.0,15069400.0,82,14,15,1
32,4,2017,14440937.0,14739289.0,66,12,17,1
32,5,2018,14813951.0,15373011.0,87,13,16,1
32,6,2019,15186964.0,16211413.0,72,9,14,1
32,7,2020,17427174.0,17925884.0,70,8,11,1
32,8,2021,17844949.0,17080502.0,91,13,17,1
32,9,2022,16306003.0,16251054.0,70,8,19,1
32,10,2023,16679016.0,17584248.0,67,9,15,1
33,1,2014,12946610.0,12410712.0,119,16,23,1
33,2,2015,13309115.0,13853143.0,123,17,15,2
33,3,2016,13671621.0,14659795.0,98,20,25,1
33,4,2017,14034126.0,14812454.0,114,16,20,2
33,5,2018,14396631.0,13593894.0,88,12,20,1
33,6,2019,14759136.0,14333068.0,99,20,16,2
33,7,2020,16936238.0,18017137.0,112,17,25,2
33,8,2021,17342244.0,17144018.0,102,18,26,2
33,9,2022,15846651.0,14820910.0,117,18,23,2
33,10,2023,16209156.0,15393295.0,116,17,14,2
34,1,2014,41058460.0,41223581.0,191,34,35,5
34,2,2015,42208097.0,40629057.0,193,25,55,4
34,3,2016,43357734.0,45133196.0,212,30,41,4
34,4,2017,44507371.0,45188766.0,249,26,45,5
34,5,2018,45657008.0,45031700.0,229,32,49,4
34,6,2019,46806645.0,48982692.0,195,37,36,4
34,7,2020,53711035.0,52932490.0,230,37,53,5
34,8,2021,54998629.0,57738575.0,218,33,48,3
34,9,2022,50255555.0,53719055.0,264,37,54,4
34,10,2023,51405192.0,53630567.0,239,25,51,4
35,1,2014,19205160.0,20459138.0,123,17,26,2
35,2,2015,19742905.0,21006973.0,123,13,29,2
35,3,2016,20280649.0,21788164.0,118,21,25,2
35,4,2017,20818394.0,20044274.0,106,18,20,2
35,5,2018,21356138.0,20705995.0,132,21,21,2
35,6,2019,21893882.0,20674299.0,94,11,18,2
35,7,2020,25123422.0,26054450.0,123,15,17,2
35,8,2021,25725696.0,25998210.0,112,19,24,2
35,9,2022,23507116.0,22351903.0,106,12,18,2
35,10,2023,24044860.0,23717963.0,134,22,27,1
36,1,2014,20733728.0,20729208.0,132,13,28,1
36,2,2015,21314273.0,20205663.0,117,13,15,2
36,3,2016,21894817.0,22900175.0,131,20,17,2
36,4,2017,22475361.0,22791568.0,105,17,25,2
36,5,2018,23055906.0,21595384.0,107,13,17,2
36,6,2019,23636450.0,24512671.0,92,17,21,2
36,7,2020,27123034.0,28312174.0,106,15,16,2
36,8,2021,27773244.0,28043145.0,105,16,26,2
36,9,2022,25378083.0,26864633.0,96,17,22,2
36,10,2023,25958628.0,25180478.0,123,12,16,2
37,1,2014,14153005.0,14390906.0,88,11,16,1
37,2,2015,14549289.0,14437882.0,81,15,21,2
37,3,2016,14945573.0,14742773.0,88,14,15,1
37,4,2017,15341857.0,15036992.0,100,16,19,1
37,5,2018,15738141.0,16732674.0,71,11,16,1
37,6,2019,16134426.0,17083729.0,80,16,22,2
37,7,2020,18514395.0,17997831.0,104,16,13,2
37,8,2021,18958233.0,18426346.0,71,15,14,1
37,9,2022,17323278.0,16339087.0,90,11,22,2
37,10,2023,17719562.0,17276762.0,96,12,20,1
38,1,2014,14618296.0,15195637.0,130,13,25,2
38,2,2015,15027609.0,15181600.0,128,15,18,2
38,3,2016,15436921.0,16368778.0,104,21,29,2
38,4,2017,15846233.0,16096557.0,139,13,19,2
38,5,2018,16255546.0,17292125.0,130,21,28,2
38,6,2019,16664858.0,17129155.0,127,13,24,2
38,7,2020,19123071.0,18932798.0,119,18,16,2
38,8,2021,19581500.0,18260052.0,95,13,19,2
38,9,2022,17892795.0,19031028.0,125,15,30,2
38,10,2023,18302107.0,19184682.0,120,21,30,2
39,1,2014,14650231.0,13883120.0,121,20,26,2
39,2,2015,15060437.0,15653646.0,87,13,20,2
39,3,2016,15470644.0,15144220.0,109,18,14,2
39,4,2017,15880850.0,16169446.0,91,14,16,1
39,5,2018,16291057.0,15197072.0,84,10,25,2
39,6,2019,16701263.0,17926302.0,88,17,19,1
39,7,2020,19164846.0,20189390.0,97,16,23,2
39,8,2021,19624277.0,20023460.0,92,11,26,2
39,9,2022,17931882.0,17242144.0,118,11,23,1
39,10,2023,18342089.0,17672646.0,100,11,14,2
40,1,2014,10759083.0,10662448.0,90,10,11,1
40,2,2015,11060337.0,10863848.0,79,14,18,1
40,3,2016,11361591.0,10985048.0,75,11,17,2
40,4,2017,11662846.0,11979479.0,94,9,18,2
40,5,2018,11964100.0,11587737.0,89,13,22,1
40,6,2019,12265354.0,12401485.0,80,10,15,1
40,7,2020,14074602.0,13675287.0,91,12,15,1
40,8,2021,14412007.0,13492265.0,68,16,11,1
40,9,2022,13169117.0,13165732.0,70,15,20,1
40,10,2023,13470372.0,14239584.0,75,13,20,1
41,1,2014,14631661.0,15213714.0,92,18,19,2
41,2,2015,15041348.0,14435956.0,119,19,21,2
41,3,2016,15451034.0,14468343.0,112,14,20,2
41,4,2017,15860721.0,16040910.0,105,15,16,2
41,5,2018,16270407.0,16850994.0,123,15,20,1
41,6,2019,16680094.0,15614545.0,111,13,22,2
41,7,2020,19140554.0,18001496.0,95,17,16,2
41,8,2021,19599403.0,20592561.0,116,15,15,2
41,9,2022,17909153.0,17735766.0,110,16,26,2
41,10,2023,18318840.0,18748776.0,117,12,21,2
42,1,2014,12490813.0,12399360.0,74,16,21,1
42,2,2015,12840555.0,12441895.0,97,17,23,2
42,3,2016,13190298.0,12855865.0,74,14,21,1
42,4,2017,13540041.0,14442195.0,76,18,20,1
42,5,2018,13889784.0,14263102.0,106,16,22,2
42,6,2019,14239526.0,13956022.0,74,10,16,1
42,7,2020,16339981.0,16452195.0,86,16,12,1
42,8,2021,16731693.0,17892021.0,95,13,12,1
42,9,2022,15288755.0,15208331.0,95,14,22,1
42,10,2023,15638497.0,14685352.0,103,10,13,1
43,1,2014,14237236.0,15131637.0,83,9,13,1
43,2,2015,14635879.0,15411020.0,85,11,13,1
43,3,2016,15034521.0,15620002.0,82,14,10,1
43,4,2017,15433164.0,14666190.0,75,8,18,1
43,5,2018,15831806.0,16544996.0,63,12,17,1
43,6,2019,16230449.0,17420075.0,89,12,16,1
43,7,2020,18624583.0,19609490.0,71,14,11,1
43,8,2021,19071062.0,18462220.0,94,15,20,1
43,9,2022,17426377.0,16301947.0,63,11,14,1
43,10,2023,17825019.0,18149405.0,80,8,18,1
44,1,2014,46886135.0,47775605.0,386,63,67,8
44,2,2015,48198946.0,46634112.0,297,43,62,7
44,3,2016,49511758.0,46051338.0,319,48,77,8
44,4,2017,50824570.0,54785636.0,347,50,56,8
44,5,2018,52137382.0,49218828.0,311,60,85,6
44,6,2019,53450193.0,54389322.0,347,57,68,6
44,7,2020,61334566.0,62825048.0,346,53,51,6
44,8,2021,62804915.0,63093681.0,403,68,47,6
44,9,2022,57388629.0,54088336.0,312,52,54,6
44,10,2023,58701441.0,55671908.0,332,42,54,6
45,1,2014,74330683.0,78015164.0,405,91,122,10
45,2,2015,76411942.0,76308694.0,556,75,128,12
45,3,2016,78493201.0,75992417.0,390,55,109,9
45,4,2017,80574461.0,78983620.0,408,94,126,12
45,5,2018,82655720.0,80887073.0,453,67,114,12
45,6,2019,84736979.0,84342567.0,418,84,73,11
45,7,2020,97236426.0,92758040.0,467,76,118,11
45,8,2021,99567437.0,96486458.0,572,77,100,9
45,9,2022,90980756.0,86989075.0,431,59,109,10
45,10,2023,93062015.0,97985863.0,456,90,72,12
46,1,2014,58141211.0,58073129.0,368,52,69,10
46,2,2015,59769165.0,58893963.0,389,53,90,7
46,3,2016,61397119.0,60350945.0,436,74,58,9
46,4,2017,63025073.0,65487676.0,374,79,90,7
46,5,2018,64653027.0,64105447.0,439,44,88,9
46,6,2019,66280981.0,62760675.0,372,66,61,8
46,7,2020,76058007.0,81018013.0,394,54,62,7
46,8,2021,77881315.0,83301943.0,418,62,66,7
46,9,2022,71164842.0,73785986.0,402,61,72,7
46,10,2023,72792796.0,72521499.0,344,72,76,10
47,1,2014,37577409.0,35915209.0,295,36,53,4
47,2,2015,38629577.0,41412195.0,217,32,59,5
47,3,2016,39681744.0,37577478.0,233,29,63,4
47,4,2017,40733911.0,43746918.0,273,45,60,6
47,5,2018,41786079.0,40921411.0,292,40,43,4
47,6,2019,42838246.0,41126566.0,203,43,34,5
47,7,2020,49157263.0,48004104.0,270,47,46,6
47,8,2021,50335691.0,53966516.0,241,49,55,5
47,9,2022,45994749.0,42944650.0,263,49,50,5
47,10,2023,47046916.0,48689657.0,256,32,64,5
48,1,2014,84330396.0,78789271.0,530,80,90,10
48,2,2015,86691647.0,93099575.0,547,91,114,10
48,3,2016,89052898.0,94454314.0,488,77,77,12
48,4,2017,91414149.0,96379898.0,495,77,72,8
48,5,2018,93775400.0,97158478.0,410,96,88,9
48,6,2019,96136651.0,91998288.0,533,73,113,9
48,7,2020,110317651.0,114874556.0,448,70,123,10
48,8,2021,112962252.0,106311100.0,500,92,114,10
48,9,2022,103220405.0,105810400.0,424,79,70,8
48,10,2023,105581656.0,103664305.0,553,71,112,11
49,1,2014,18973497.0,20268883.0,117,17,21,1
49,2,2015,19504754.0,19283736.0,98,16,17,2
49,3,2016,20036012.0,18937563.0,100,19,18,2
49,4,2017,20567270.0,20000914.0,85,14,25,2
49,5,2018,21098528.0,22737890.0,100,13,25,2
49,6,2019,21629786.0,20604656.0,83,11,17,2
49,7,2020,24820369.0,23201446.0,99,20,20,2
49,8,2021,25415378.0,24620390.0,115,15,15,1
49,9,2022,23223560.0,21885432.0,119,16,17,2
49,10,2023,23754818.0,23013185.0,118,19,16,2
50,1,2014,8783253.0,8350680.0,80,7,12,1
50,2,2015,9029184.0,8858713.0,76,11,10,1
50,3,2016,9275115.0,9056651.0,79,10,11,1
50,4,2017,9521046.0,9280839.0,66,9,10,1
50,5,2018,9766977.0,9978066.0,74,6,10,1
50,6,2019,10012908.0,9386891.0,57,6,15,1
50,7,2020,11489900.0,12029612.0,64,12,12,1
50,8,2021,11765342.0,11153454.0,80,9,16,1
50,9,2022,10750701.0,10240517.0,78,12,15,1
50,10,2023,10996632.0,10887919.0,58,12,17,1
51,1,2014,91773070.0,94012499.0,702,71,96,10
51,2,2015,94342716.0,96671135.0,516,101,128,13
51,3,2016,96912362.0,101363550.0,603,83,154,13
51,4,2017,99482008.0,103374846.0,724,94,83,10
51,5,2018,102051654.0,103890137.0,495,112,155,11
51,6,2019,104621300.0,100013019.0,547,97,141,12
51,7,2020,120053860.0,116284455.0,588,65,152,15
51,8,2021,122931863.0,115393889.0,553,65,142,13
51,9,2022,112330238.0,118134020.0,554,83,156,12
51,10,2023,114899884.0,111570719.0,578,65,90,13
52,1,2014,12437099.0,12516767.0,95,18,23,2
52,2,2015,12785338.0,12609338.0,84,16,15,2
52,3,2016,13133577.0,12237384.0,100,18,22,1
52,4,2017,13481816.0,13936421.0,112,12,23,1
