record_id,hospital_id,procedure_id,period_id,patient_count,p50_wait_days,p90_wait_days,pct_within_benchmark,data_completeness
51,1,6,1,102,8.8,15.2,84.4,Complete
52,1,6,2,186,8.6,15.2,86.6,Complete
53,1,6,3,218,8.7,17.6,82.1,Complete
54,1,6,4,155,8.5,15.0,88.0,Complete
55,1,6,5,138,9.4,17.5,69.3,Complete
56,1,6,6,165,10.5,18.9,73.8,Complete
57,1,6,7,115,10.5,22.2,51.9,Complete
58,1,6,8,124,13.4,22.5,62.1,Complete
59,1,6,9,289,9.9,18.7,72.9,Complete
60,1,6,10,165,8.3,14.0,87.0,Complete
61,1,7,1,48,19.9,39.4,66.5,Partial
62,1,7,2,139,21.4,36.5,78.4,Complete
63,1,7,3,68,17.4,30.6,90.2,Complete
64,1,7,4,101,19.6,37.9,67.3,Complete
65,1,7,5,145,15.5,32.4,87.0,Complete
66,1,7,6,55,15.6,32.7,69.1,Complete
67,1,7,7,93,25.3,49.1,49.2,Complete
68,1,7,8,69,27.6,53.0,53.9,Complete
69,1,7,9,114,15.0,27.3,92.4,Complete
70,1,7,10,163,17.3,29.5,93.8,Complete
71,1,8,1,144,17.9,36.7,85.3,Complete
72,1,8,2,109,20.3,35.9,83.2,Complete
73,1,8,3,87,22.7,39.6,60.7,Complete
74,1,8,4,74,23.5,41.3,62.4,Complete
75,1,8,5,160,17.6,32.5,91.0,Complete
76,1,8,6,174,17.0,35.5,80.4,Complete
77,1,8,7,97,28.7,53.9,52.3,Complete
78,1,8,8,17,22.3,42.6,63.4,Complete
79,1,8,9,173,17.0,32.4,84.6,Complete
80,1,8,10,91,17.8,39.5,76.8,Complete
81,2,1,1,79,127.8,231.8,69.8,Complete
82,2,1,2,192,103.3,178.3,96.8,Complete
83,2,1,3,48,116.0,196.9,87.6,Complete
84,2,1,4,175,129.9,234.1,62.6,Complete
85,2,1,5,57,92.4,176.3,88.1,Complete
86,2,1,6,140,98.0,180.7,100.0,Complete
87,2,1,7,67,192.1,328.3,48.1,Complete
88,2,1,8,85,128.6,273.1,61.7,Partial
89,2,1,9,124,96.8,213.2,81.2,Complete
90,2,1,10,129,99.6,202.9,76.0,Estimated
91,2,2,1,77,123.8,208.8,78.1,Complete
92,2,2,2,82,97.3,203.9,91.6,Complete
93,2,2,3,65,122.3,241.7,68.2,Complete
94,2,2,4,148,110.3,222.3,78.1,Complete
95,2,2,5,176,122.6,215.4,81.6,Complete
96,2,2,6,82,122.6,232.4,68.7,Complete
97,2,2,7,89,142.8,287.3,62.8,Complete
98,2,2,8,43,139.4,250.8,62.9,Complete
99,2,2,9,63,99.0,195.9,76.7,Complete
100,2,2,10,129,120.7,205.1,91.4,Complete
101,2,3,1,216,1.4,2.4,76.8,Complete
102,2,3,2,262,1.0,2.0,89.0,Complete
103,2,3,3,235,1.3,2.3,90.9,Complete
104,2,3,4,214,1.1,1.9,84.1,Complete
105,2,3,5,158,1.0,2.2,83.1,Estimated
106,2,3,6,247,1.4,2.6,75.3,Complete
107,2,3,7,169,1.6,2.7,76.1,Complete
108,2,3,8,107,1.9,3.7,51.3,Complete
109,2,3,9,238,1.2,2.2,87.5,Complete
110,2,3,10,268,1.2,2.0,84.8,Complete
111,2,4,1,122,60.5,116.1,96.6,Complete
112,2,4,2,101,58.6,114.9,86.8,Complete
113,2,4,3,185,67.8,120.3,86.8,Partial
114,2,4,4,124,78.0,135.7,84.3,Complete
115,2,4,5,61,66.8,123.1,78.4,Complete
116,2,4,6,75,71.1,123.1,86.0,Complete
117,2,4,7,40,99.0,194.3,60.3,Complete
118,2,4,8,53,116.0,194.7,51.2,Complete
119,2,4,9,135,60.8,125.2,75.8,Complete
120,2,4,10,191,69.0,124.0,75.9,Complete
121,2,5,1,199,15.1,32.5,89.0,Complete
122,2,5,2,85,13.2,27.7,94.8,Complete
123,2,5,3,92,19.1,32.9,80.0,Complete
124,2,5,4,116,15.8,29.8,85.3,Complete
125,2,5,5,90,19.3,35.7,82.2,Complete
126,2,5,6,57,16.4,31.7,77.1,Complete
127,2,5,7,44,25.6,48.7,47.5,Complete
128,2,5,8,47,27.8,51.0,51.9,Complete
129,2,5,9,92,17.3,36.2,67.1,Complete
130,2,5,10,305,19.6,33.9,77.2,Complete
131,2,6,1,245,8.0,14.6,86.2,Complete
132,2,6,2,149,8.5,17.4,74.5,Estimated
133,2,6,3,200,6.6,13.9,97.9,Complete
134,2,6,4,219,8.6,14.9,97.6,Complete
135,2,6,5,131,8.4,14.3,91.0,Complete
136,2,6,6,281,9.6,18.5,69.8,Complete
137,2,6,7,138,13.6,23.7,52.4,Partial
138,2,6,8,316,14.6,25.1,45.1,Complete
139,2,6,9,115,10.1,17.2,69.8,Complete
140,2,6,10,371,9.9,17.7,70.1,Complete
141,2,7,1,95,16.0,28.2,80.8,Complete
142,2,7,2,145,14.9,32.1,70.1,Complete
143,2,7,3,113,16.2,27.4,100.0,Complete
144,2,7,4,195,17.4,31.2,84.4,Complete
145,2,7,5,144,16.6,29.3,97.9,Complete
146,2,7,6,128,18.2,31.0,74.3,Complete
147,2,7,7,91,20.9,45.1,50.3,Complete
148,2,7,8,98,26.1,47.1,57.2,Complete
149,2,7,9,184,17.1,34.1,72.5,Complete
150,2,7,10,229,13.0,26.1,100.0,Complete
151,2,8,1,92,16.8,30.8,97.0,Estimated
152,2,8,2,61,19.9,37.2,75.4,Complete
153,2,8,3,215,15.6,30.8,94.5,Estimated
154,2,8,4,173,21.6,39.4,76.2,Complete
155,2,8,5,197,15.2,29.3,100.0,Complete
156,2,8,6,146,20.2,34.9,78.5,Partial
157,2,8,7,89,21.8,42.0,68.0,Complete
158,2,8,8,80,28.6,50.7,58.6,Complete
159,2,8,9,114,15.8,30.8,86.3,Complete
160,2,8,10,143,16.5,32.2,85.6,Complete
161,3,8,1,70,25.4,46.1,57.7,Estimated
162,3,8,2,63,22.2,40.7,76.4,Complete
163,3,8,3,55,25.8,48.4,59.0,Complete
164,3,8,4,47,23.1,42.7,59.7,Complete
165,3,8,5,47,22.0,43.4,64.7,Complete
166,3,8,6,69,25.0,53.2,50.4,Estimated
167,3,8,7,16,36.1,72.1,39.7,Complete
168,3,8,8,38,36.1,69.7,43.8,Complete
169,3,8,9,73,24.4,47.4,59.0,Complete
170,3,8,10,54,23.7,45.3,61.8,Complete
171,4,1,1,38,120.0,227.4,66.8,Complete
172,4,1,2,28,91.2,175.1,88.6,Partial
173,4,1,3,31,85.2,182.1,98.5,Complete
174,4,1,4,23,122.2,205.8,78.9,Complete
175,4,1,5,19,99.3,189.3,77.9,Estimated
176,4,1,6,32,128.2,218.8,73.7,Complete
177,4,1,7,7,141.9,259.5,72.9,Complete
178,4,1,8,26,124.3,272.9,69.7,Complete
179,4,1,9,27,90.9,160.4,100.0,Complete
180,4,1,10,21,93.3,206.1,81.0,Complete
181,4,5,1,31,15.7,30.7,95.4,Complete
182,4,5,2,31,14.5,26.7,84.8,Complete
183,4,5,3,13,14.9,31.6,72.9,Complete
184,4,5,4,32,12.4,24.8,92.4,Complete
185,4,5,5,19,16.1,27.2,100.0,Complete
186,4,5,6,17,17.2,30.1,86.6,Complete
187,4,5,7,8,21.6,44.2,60.8,Complete
188,4,5,8,9,19.4,34.3,71.8,Partial
189,4,5,9,13,13.8,23.8,95.1,Complete
190,4,5,10,42,13.8,27.1,100.0,Partial
191,4,8,1,24,14.7,28.9,91.5,Complete
192,4,8,2,12,18.6,36.4,83.1,Complete
193,4,8,3,22,19.7,36.9,67.4,Complete
194,4,8,4,24,18.5,32.2,85.2,Complete
195,4,8,5,39,18.8,35.5,76.0,Complete
196,4,8,6,17,13.4,26.8,100.0,Partial
197,4,8,7,11,24.3,43.4,57.8,Complete
198,4,8,8,20,20.6,43.5,63.1,Complete
199,4,8,9,40,17.3,30.0,86.1,Partial
200,4,8,10,25,17.4,34.8,84.8,Complete
201,5,2,1,15,155.7,323.3,51.2,Complete
202,5,2,2,44,175.4,355.4,42.9,Partial
203,5,2,3,54,179.3,395.1,39.7,Complete
204,5,2,4,34,194.4,402.3,40.5,Complete
205,5,2,5,55,181.5,362.3,47.2,Complete
206,5,2,6,59,174.4,335.1,54.8,Complete
207,5,2,7,15,280.0,533.2,31.2,Complete
208,5,2,8,48,300.6,575.2,29.4,Complete
209,5,2,9,34,211.6,379.4,46.3,Complete
210,5,2,10,74,169.7,287.3,62.7,Complete
211,5,4,1,39,144.6,245.7,38.5,Complete
212,5,4,2,48,125.3,212.3,48.0,Complete
213,5,4,3,56,116.6,256.5,38.0,Complete
214,5,4,4,50,130.6,220.6,44.7,Complete
215,5,4,5,66,123.8,233.0,44.7,Complete
216,5,4,6,28,122.4,224.2,50.0,Complete
217,5,4,7,14,211.0,356.6,26.3,Complete
218,5,4,8,16,132.5,289.5,32.6,Complete
219,5,4,9,60,90.5,184.9,48.6,Estimated
220,5,4,10,53,103.8,209.6,56.0,Complete
221,5,8,1,53,34.5,59.7,50.6,Complete
222,5,8,2,21,25.7,56.1,47.9,Complete
223,5,8,3,78,31.8,56.8,44.1,Complete
224,5,8,4,75,32.0,57.1,52.8,Complete
225,5,8,5,59,32.6,60.0,46.7,Complete
226,5,8,6,57,36.8,67.5,42.5,Partial
227,5,8,7,15,36.0,69.2,42.4,Estimated
228,5,8,8,12,38.7,74.3,35.2,Complete
229,5,8,9,40,35.8,59.7,41.5,Complete
230,5,8,10,45,30.4,65.1,42.1,Complete
231,6,1,1,19,122.9,241.8,73.5,Partial
232,6,1,2,26,105.5,196.3,77.2,Complete
233,6,1,3,25,133.4,238.5,74.9,Estimated
234,6,1,4,49,96.1,191.3,87.0,Partial
235,6,1,5,49,103.9,203.5,78.9,Complete
236,6,1,6,76,106.2,206.2,84.5,Complete
237,6,1,7,10,120.1,254.5,71.3,Complete
238,6,1,8,16,134.7,295.5,59.7,Complete
239,6,1,9,52,106.7,206.1,85.9,Complete
240,6,1,10,35,76.8,170.1,100.0,Complete
241,6,2,1,19,114.5,244.8,68.1,Complete
242,6,2,2,80,111.7,220.4,76.6,Complete
243,6,2,3,31,109.5,194.7,82.4,Complete
244,6,2,4,25,107.0,223.6,69.6,Complete
245,6,2,5,33,125.9,220.9,82.6,Complete
246,6,2,6,60,84.0,171.8,100.0,Partial
247,6,2,7,27,173.6,292.6,52.2,Complete
248,6,2,8,17,154.7,294.5,62.6,Complete
249,6,2,9,79,88.3,181.5,100.0,Complete
250,6,2,10,18,97.9,215.3,76.4,Complete
251,6,4,1,33,75.5,141.0,81.7,Estimated
252,6,4,2,18,61.2,116.2,80.9,Complete
253,6,4,3,55,62.4,120.1,74.7,Estimated
254,6,4,4,64,61.7,130.6,77.3,Complete
255,6,4,5,41,79.8,138.0,75.4,Complete
256,6,4,6,54,71.5,124.6,91.9,Partial
257,6,4,7,13,94.8,190.6,60.1,Complete
258,6,4,8,10,100.2,196.8,56.4,Complete
259,6,4,9,63,49.6,108.4,83.2,Complete
260,6,4,10,23,78.1,137.1,76.8,Estimated
261,6,5,1,53,19.2,34.0,70.2,Partial
262,6,5,2,26,18.3,37.0,64.6,Complete
263,6,5,3,32,14.8,27.1,85.3,Complete
264,6,5,4,52,16.4,27.4,84.0,Complete
265,6,5,5,59,16.3,32.2,83.3,Partial
266,6,5,6,42,20.2,36.3,64.1,Complete
267,6,5,7,20,27.8,50.2,51.7,Complete
268,6,5,8,34,25.9,52.2,44.6,Partial
269,6,5,9,28,15.9,29.7,87.7,Complete
270,6,5,10,44,17.4,31.7,83.0,Complete
271,6,7,1,58,17.9,33.2,74.4,Partial
272,6,7,2,27,17.9,30.0,76.1,Complete
273,6,7,3,36,18.7,33.9,86.4,Estimated
274,6,7,4,23,14.8,27.8,88.6,Complete
275,6,7,5,18,15.6,30.1,94.1,Complete
276,6,7,6,27,18.0,33.7,72.2,Complete
277,6,7,7,35,20.4,39.4,58.2,Complete
278,6,7,8,32,22.4,37.8,68.6,Complete
279,6,7,9,28,14.7,29.6,88.0,Complete
280,6,7,10,49,18.1,31.8,73.1,Partial
281,6,8,1,30,22.3,39.6,76.1,Complete
282,6,8,2,25,18.6,36.4,86.3,Complete
283,6,8,3,27,20.8,40.0,70.1,Complete
284,6,8,4,57,21.2,36.5,69.3,Complete
285,6,8,5,29,19.5,32.6,88.5,Complete
286,6,8,6,80,17.9,36.7,71.3,Complete
287,6,8,7,32,32.2,56.9,50.1,Complete
288,6,8,8,13,29.1,50.9,52.1,Complete
289,6,8,9,48,15.2,31.9,94.3,Complete
290,6,8,10,29,17.9,32.0,87.3,Complete
291,7,1,1,322,118.8,223.8,80.6,Complete
292,7,1,2,456,86.6,187.2,82.6,Estimated
293,7,1,3,290,115.8,239.3,73.5,Complete
294,7,1,4,480,115.9,234.0,65.3,Partial
295,7,1,5,425,97.8,178.0,97.8,Complete
296,7,1,6,485,100.5,174.4,96.2,Partial
297,7,1,7,97,157.7,300.4,59.8,Complete
298,7,1,8,301,183.8,321.9,56.6,Complete
299,7,1,9,456,87.6,188.7,90.5,Complete
300,7,1,10,655,91.3,174.9,100.0,Estimated
301,7,2,1,341,112.5,221.4,67.5,Complete
302,7,2,2,375,130.5,223.7,76.4,Complete
303,7,2,3,346,80.8,179.3,81.8,Complete
304,7,2,4,206,106.3,224.1,80.9,Complete
305,7,2,5,271,113.9,238.5,63.7,Complete
306,7,2,6,445,91.2,172.5,86.9,Complete
307,7,2,7,99,118.4,261.4,63.7,Complete
308,7,2,8,116,126.6,246.7,71.4,Complete
309,7,2,9,587,98.1,217.3,87.5,Complete
310,7,2,10,313,86.6,183.1,80.5,Complete
311,7,3,1,482,1.3,2.8,64.2,Partial
312,7,3,2,460,1.2,2.3,87.6,Estimated
313,7,3,3,565,1.1,2.3,84.8,Complete
314,7,3,4,481,1.2,2.4,80.8,Complete
315,7,3,5,428,1.2,2.0,96.6,Complete
316,7,3,6,459,1.0,1.9,96.9,Estimated
317,7,3,7,543,1.8,3.1,65.5,Complete
318,7,3,8,648,1.6,2.9,71.0,Complete
319,7,3,9,833,1.1,2.0,84.9,Complete
320,7,3,10,848,1.0,2.2,73.1,Complete
321,7,4,1,390,66.9,126.5,74.3,Estimated
322,7,4,2,275,73.3,143.6,74.4,Partial
323,7,4,3,234,68.3,124.7,72.8,Complete
324,7,4,4,592,62.7,124.8,73.4,Complete
325,7,4,5,318,65.7,112.9,90.0,Complete
326,7,4,6,208,53.7,118.8,78.8,Complete
327,7,4,7,361,91.7,200.4,53.5,Complete
328,7,4,8,160,86.7,156.2,74.5,Complete
329,7,4,9,234,68.3,128.6,80.3,Complete
330,7,4,10,426,70.6,128.6,75.8,Complete
331,7,5,1,153,17.9,37.9,66.1,Complete
332,7,5,2,330,18.1,31.5,79.8,Complete
333,7,5,3,678,15.7,33.5,83.0,Complete
334,7,5,4,459,19.3,33.3,86.0,Complete
335,7,5,5,212,15.8,34.2,67.4,Complete
336,7,5,6,216,16.7,31.1,89.6,Complete
337,7,5,7,158,21.3,38.9,65.2,Complete
338,7,5,8,197,26.0,52.0,56.5,Complete
339,7,5,9,490,15.7,30.4,93.0,Complete
340,7,5,10,267,17.8,29.7,86.1,Complete
341,7,6,1,699,9.0,18.5,62.0,Complete
342,7,6,2,409,8.2,16.6,87.9,Complete
343,7,6,3,685,10.5,17.7,82.2,Complete
344,7,6,4,403,7.8,16.4,86.9,Partial
345,7,6,5,568,8.1,14.3,100.0,Complete
346,7,6,6,622,9.2,16.6,70.8,Complete
347,7,6,7,541,10.0,22.0,56.7,Complete
348,7,6,8,721,11.2,23.4,57.1,Complete
349,7,6,9,697,7.6,16.7,74.9,Complete
350,7,6,10,597,7.2,13.3,87.8,Complete
351,7,7,1,612,14.8,31.3,80.4,Complete
352,7,7,2,320,20.7,37.8,59.8,Partial
353,7,7,3,327,19.0,33.7,81.9,Complete
354,7,7,4,503,15.6,27.8,100.0,Complete
355,7,7,5,138,21.2,35.4,73.9,Complete
356,7,7,6,368,19.1,32.6,76.1,Complete
357,7,7,7,129,23.5,48.8,48.8,Complete
358,7,7,8,156,24.1,47.5,53.4,Complete
359,7,7,9,524,15.9,34.3,67.1,Complete
360,7,7,10,539,17.0,32.2,88.7,Complete
361,7,8,1,503,16.5,35.7,87.8,Complete
362,7,8,2,585,16.6,29.4,92.7,Complete
363,7,8,3,330,22.7,38.3,68.2,Complete
364,7,8,4,215,19.4,34.1,82.9,Complete
365,7,8,5,408,16.5,34.6,88.4,Complete
366,7,8,6,304,15.3,31.8,94.6,Complete
367,7,8,7,199,21.3,43.3,63.4,Complete
368,7,8,8,165,21.4,41.2,65.9,Complete
369,7,8,9,621,17.4,30.4,91.8,Complete
370,7,8,10,333,17.3,37.0,72.5,Complete
371,8,1,1,204,94.2,182.9,81.1,Partial
372,8,1,2,126,128.4,235.0,80.2,Complete
373,8,1,3,109,107.2,221.2,71.9,Complete
374,8,1,4,80,83.3,184.6,94.9,Complete
375,8,1,5,55,103.9,186.8,91.2,Complete
376,8,1,6,140,102.4,219.4,78.0,Complete
377,8,1,7,81,127.9,262.9,72.4,Complete
378,8,1,8,66,137.7,287.8,53.6,Complete
379,8,1,9,130,90.8,189.4,95.0,Complete
380,8,1,10,82,99.6,189.8,99.4,Complete
381,8,2,1,173,112.8,199.1,73.7,Complete
382,8,2,2,117,101.8,196.9,77.8,Complete
383,8,2,3,98,127.5,228.0,78.8,Complete
384,8,2,4,173,138.8,232.7,68.5,Complete
385,8,2,5,91,112.0,224.7,69.1,Complete
386,8,2,6,118,105.1,197.8,78.2,Complete
387,8,2,7,62,124.5,249.0,73.6,Complete
388,8,2,8,61,161.6,317.0,55.1,Partial
389,8,2,9,246,111.6,199.9,82.9,Complete
390,8,2,10,276,97.3,216.2,72.2,Complete
391,8,3,1,161,1.1,2.2,76.3,Complete
392,8,3,2,247,1.4,2.4,84.8,Complete
393,8,3,3,249,1.0,2.1,91.4,Complete
394,8,3,4,236,1.3,2.4,71.4,Complete
395,8,3,5,223,1.2,2.3,86.6,Complete
396,8,3,6,160,1.2,2.3,70.6,Complete
397,8,3,7,213,1.9,3.4,59.7,Complete
398,8,3,8,260,1.6,2.7,76.1,Complete
399,8,3,9,232,1.2,2.2,83.0,Partial
400,8,3,10,297,1.0,2.0,94.5,Complete
401,8,4,1,207,64.1,121.1,94.6,Complete
402,8,4,2,138,68.9,150.4,65.8,Complete
403,8,4,3,147,88.5,149.3,70.4,Partial
404,8,4,4,119,70.5,128.6,78.9,Complete
405,8,4,5,143,64.4,121.1,93.8,Complete
406,8,4,6,224,68.7,122.3,83.5,Complete
407,8,4,7,108,97.1,179.4,62.5,Complete
408,8,4,8,82,99.4,201.9,58.1,Complete
409,8,4,9,73,71.1,119.1,96.8,Complete
410,8,4,10,111,52.7,103.1,100.0,Complete
411,8,5,1,128,17.2,30.2,90.6,Complete
412,8,5,2,141,17.1,33.9,71.4,Complete
413,8,5,3,197,20.9,35.6,63.1,Complete
414,8,5,4,167,20.1,35.6,66.2,Complete
415,8,5,5,186,13.0,26.6,85.6,Complete
416,8,5,6,175,14.9,31.6,85.7,Complete
417,8,5,7,47,23.8,48.5,56.7,Complete
418,8,5,8,63,21.9,38.2,65.6,Complete
419,8,5,9,252,15.8,27.8,95.9,Complete
420,8,5,10,195,12.6,25.4,92.4,Complete
421,8,6,1,298,7.2,14.6,77.3,Complete
422,8,6,2,178,8.3,14.9,83.9,Estimated
423,8,6,3,198,9.1,15.1,77.7,Complete
424,8,6,4,279,8.2,14.0,97.8,Complete
425,8,6,5,201,7.7,17.1,68.3,Complete
426,8,6,6,155,8.7,16.5,68.6,Complete
427,8,6,7,118,14.4,25.0,49.3,Complete
428,8,6,8,271,11.8,23.2,49.1,Complete
429,8,6,9,225,7.2,13.9,80.6,Complete
430,8,6,10,262,10.2,17.1,71.2,Complete
431,8,7,1,177,17.0,32.3,76.8,Complete
432,8,7,2,122,19.1,35.8,77.6,Complete
433,8,7,3,87,17.0,29.4,95.3,Complete
434,8,7,4,114,14.9,27.4,100.0,Complete
435,8,7,5,99,15.1,30.4,93.3,Complete
436,8,7,6,92,16.3,31.3,74.6,Complete
437,8,7,7,133,22.9,49.8,48.7,Complete
438,8,7,8,71,22.7,42.9,59.2,Complete
439,8,7,9,94,19.2,32.4,76.3,Complete
440,8,7,10,65,15.7,27.7,83.8,Partial
441,8,8,1,240,20.2,34.7,78.7,Complete
442,8,8,2,275,15.0,30.6,100.0,Complete
443,8,8,3,193,19.0,34.4,85.1,Partial
444,8,8,4,104,20.2,36.0,87.2,Complete
445,8,8,5,199,21.1,37.2,78.6,Complete
446,8,8,6,193,17.6,30.3,86.1,Complete
447,8,8,7,58,22.5,48.9,63.6,Complete
448,8,8,8,131,21.6,41.7,71.1,Complete
449,8,8,9,74,19.6,36.6,67.3,Complete
450,8,8,10,189,17.6,36.2,81.8,Complete
451,9,1,1,56,127.2,249.5,67.8,Complete
452,9,1,2,38,100.9,195.5,84.1,Complete
453,9,1,3,68,103.4,180.0,94.0,Complete
454,9,1,4,41,139.3,242.9,73.5,Complete
455,9,1,5,53,95.5,178.1,88.1,Partial
456,9,1,6,70,109.2,204.8,80.7,Complete
457,9,1,7,20,125.2,256.4,61.9,Complete
458,9,1,8,24,141.8,282.1,67.6,Complete
459,9,1,9,37,100.9,210.3,76.8,Complete
460,9,1,10,72,104.3,204.8,86.3,Estimated
461,9,2,1,54,107.3,206.3,70.9,Complete
462,9,2,2,52,85.4,181.7,93.8,Complete
463,9,2,3,33,113.1,208.6,80.9,Complete
464,9,2,4,27,115.4,201.3,84.7,Complete
465,9,2,5,45,92.4,202.5,90.2,Complete
466,9,2,6,76,123.2,230.4,78.2,Complete
467,9,2,7,61,117.3,247.5,76.8,Complete
468,9,2,8,26,143.1,263.6,65.8,Complete
469,9,2,9,114,103.5,184.5,99.8,Complete
470,9,2,10,61,117.1,201.9,91.0,Complete
471,9,4,1,39,60.3,114.8,94.9,Complete
472,9,4,2,58,64.5,126.0,93.2,Complete
473,9,4,3,73,55.1,118.6,98.8,Complete
474,9,4,4,56,66.4,117.2,98.6,Complete
475,9,4,5,69,68.0,122.0,96.1,Complete
476,9,4,6,64,73.6,132.8,70.1,Complete
477,9,4,7,16,122.4,212.0,53.2,Complete
478,9,4,8,29,97.2,202.5,49.9,Complete
479,9,4,9,116,56.7,108.9,86.7,Partial
480,9,4,10,41,67.7,134.6,81.4,Complete
481,9,5,1,47,20.1,33.8,67.8,Complete
482,9,5,2,91,20.6,37.4,66.9,Complete
483,9,5,3,61,14.3,30.8,80.6,Complete
484,9,5,4,29,13.2,27.0,83.5,Complete
485,9,5,5,89,14.2,27.1,100.0,Complete
486,9,5,6,59,16.7,28.4,89.9,Complete
487,9,5,7,18,18.8,38.5,59.7,Complete
488,9,5,8,21,28.6,51.9,53.3,Complete
489,9,5,9,28,15.6,28.9,87.8,Partial
490,9,5,10,39,14.1,27.1,100.0,Complete
491,9,7,1,66,18.2,33.8,81.4,Complete
492,9,7,2,31,21.0,37.5,60.3,Partial
493,9,7,3,71,14.1,29.4,94.3,Complete
494,9,7,4,42,13.4,29.6,84.6,Complete
495,9,7,5,94,16.3,27.2,100.0,Complete
496,9,7,6,54,13.0,27.1,84.5,Estimated
497,9,7,7,57,30.6,51.5,47.6,Complete
498,9,7,8,37,26.6,44.5,58.7,Complete
499,9,7,9,91,16.9,33.6,86.4,Complete
500,9,7,10,34,18.1,31.8,85.8,Complete
501,9,8,1,50,19.8,35.5,71.5,Complete
502,9,8,2,47,21.1,40.9,67.0,Complete
503,9,8,3,56,22.2,38.2,66.4,Complete
504,9,8,4,48,15.4,30.1,98.8,Estimated
505,9,8,5,46,15.3,28.7,100.0,Complete
506,9,8,6,116,21.7,36.8,78.5,Complete
507,9,8,7,14,25.6,48.7,51.3,Complete
508,9,8,8,25,24.6,53.2,58.1,Partial
509,9,8,9,44,17.9,31.0,85.7,Complete
510,9,8,10,57,16.0,30.4,100.0,Complete
511,10,1,1,48,148.4,249.4,66.3,Complete
512,10,1,2,54,108.2,203.2,84.4,Complete
513,10,1,3,181,126.2,239.6,66.8,Complete
514,10,1,4,118,92.2,178.8,100.0,Partial
515,10,1,5,120,85.4,173.8,91.8,Complete
516,10,1,6,54,100.6,186.5,81.6,Complete
517,10,1,7,83,121.6,264.2,63.4,Complete
518,10,1,8,66,150.9,305.1,52.2,Complete
519,10,1,9,97,91.6,180.3,94.2,Estimated
520,10,1,10,181,123.3,208.8,72.1,Complete
521,10,2,1,128,115.4,223.0,77.6,Complete
522,10,2,2,156,134.7,245.1,59.9,Complete
523,10,2,3,76,118.0,230.5,82.3,Complete
524,10,2,4,153,116.9,232.3,74.4,Complete
525,10,2,5,51,84.5,180.0,86.5,Complete
526,10,2,6,118,132.0,230.4,78.3,Complete
527,10,2,7,52,154.7,286.2,61.0,Complete
528,10,2,8,85,152.3,258.5,64.5,Complete
529,10,2,9,49,100.4,178.1,91.1,Complete
530,10,2,10,138,94.2,191.6,85.7,Complete
531,10,3,1,177,1.2,2.4,78.9,Complete
532,10,3,2,93,1.4,2.5,64.9,Complete
533,10,3,3,119,1.3,2.1,78.4,Complete
